Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.39,-.53,-.23,-.30,-.05,-.18,-.22,-.25,-.25,-.30,-.43,-.42,-.30,***,***,-.20,-.22,-.33
1881,-.30,-.25,-.06,-.02,.05,-.34,.09,-.05,-.28,-.45,-.37,-.23,-.19,-.20,-.33,-.01,-.10,-.37
1882,.26,.21,.02,-.29,-.22,-.28,-.28,-.14,-.24,-.51,-.34,-.68,-.21,-.17,.08,-.16,-.23,-.36
1883,-.57,-.65,-.15,-.29,-.25,-.11,-.06,-.22,-.34,-.16,-.44,-.15,-.28,-.33,-.64,-.23,-.13,-.31
1884,-.15,-.10,-.64,-.59,-.35,-.41,-.41,-.51,-.45,-.45,-.57,-.46,-.42,-.40,-.14,-.53,-.44,-.49
1885,-1.00,-.46,-.24,-.48,-.58,-.44,-.34,-.41,-.39,-.37,-.38,-.11,-.43,-.46,-.64,-.43,-.40,-.38
1886,-.75,-.84,-.72,-.37,-.34,-.37,-.14,-.43,-.33,-.32,-.41,-.23,-.44,-.43,-.57,-.47,-.31,-.35
1887,-1.09,-.71,-.45,-.39,-.26,-.21,-.25,-.56,-.22,-.50,-.28,-.43,-.44,-.43,-.67,-.37,-.34,-.33
1888,-.49,-.61,-.64,-.22,-.15,-.03,.00,-.21,-.20,-.04,-.01,-.24,-.24,-.25,-.51,-.34,-.08,-.08
1889,-.28,.29,-.02,.16,-.04,-.07,-.08,-.21,-.30,-.42,-.62,-.55,-.18,-.15,-.08,.03,-.12,-.45
1890,-.64,-.58,-.47,-.25,-.36,-.16,-.24,-.39,-.35,-.10,-.63,-.47,-.39,-.39,-.59,-.36,-.26,-.36
1891,-.47,-.67,-.16,-.36,-.16,-.13,-.13,-.13,-.08,-.29,-.53,-.02,-.26,-.30,-.54,-.23,-.13,-.30
1892,-.50,-.19,-.67,-.46,-.23,-.06,-.38,-.33,-.21,-.28,-.83,-.67,-.40,-.35,-.24,-.45,-.26,-.44
1893,-1.52,-.97,-.33,-.31,-.44,-.18,-.15,-.35,-.30,-.29,-.35,-.61,-.48,-.49,-1.05,-.36,-.23,-.31
1894,-.92,-.43,-.22,-.55,-.27,-.42,-.21,-.28,-.33,-.29,-.49,-.36,-.40,-.42,-.65,-.34,-.30,-.37
1895,-.71,-.82,-.51,-.20,-.31,-.22,-.20,-.28,-.07,-.11,-.14,-.24,-.32,-.33,-.63,-.34,-.23,-.11
1896,-.37,-.19,-.51,-.61,-.17,.07,-.01,-.12,-.14,.03,-.22,-.22,-.21,-.21,-.27,-.43,-.02,-.11
1897,-.41,-.43,-.41,-.06,.12,-.07,.04,-.07,-.07,-.17,-.27,-.30,-.18,-.17,-.35,-.12,-.04,-.17
1898,.04,-.46,-.81,-.29,-.29,-.09,-.12,-.19,-.18,-.38,-.52,-.27,-.30,-.30,-.24,-.46,-.13,-.36
