Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.06,-.02,-.13,-.25,-.17,.06,-.05,-.15,.00,.05,-.05,***,***,-.03,-.12,-.07
1881,-.09,-.06,.09,.09,.08,-.05,-.08,-.02,-.04,-.01,-.01,.09,.00,.00,-.03,.09,-.05,-.02
1882,.06,.07,.07,-.02,-.04,-.15,-.05,.01,-.05,.03,-.02,-.08,-.01,.00,.07,.00,-.06,-.01
1883,-.03,-.09,-.09,-.08,-.10,-.02,-.09,-.05,-.11,-.06,-.05,-.06,-.07,-.07,-.06,-.09,-.05,-.07
1884,-.09,-.06,-.10,-.22,-.32,-.29,-.22,-.07,-.11,-.07,-.11,-.15,-.15,-.14,-.07,-.21,-.19,-.10
1885,-.20,-.23,-.30,-.36,-.33,-.43,-.33,-.22,-.19,-.13,-.11,-.10,-.24,-.25,-.20,-.33,-.33,-.15
1886,-.15,-.20,-.17,-.20,-.15,-.32,-.21,-.19,-.15,-.24,-.15,-.29,-.20,-.19,-.15,-.18,-.24,-.18
1887,-.37,-.44,-.28,-.31,-.35,-.28,-.27,-.17,-.30,-.22,-.25,-.23,-.29,-.29,-.37,-.31,-.24,-.26
1888,-.21,-.13,-.21,-.20,-.29,-.31,-.20,-.10,-.04,.06,.06,.14,-.12,-.15,-.19,-.23,-.21,.02
1889,.07,.02,.12,.02,.01,-.13,-.07,-.20,-.17,-.10,-.07,-.04,-.04,-.03,.08,.05,-.13,-.11
1890,-.21,-.33,-.34,-.35,-.44,-.33,-.33,-.39,-.38,-.40,-.26,-.17,-.33,-.32,-.20,-.38,-.35,-.35
1891,-.22,-.26,-.21,-.20,-.18,-.29,-.23,-.22,-.24,-.16,-.11,-.06,-.20,-.21,-.22,-.19,-.25,-.17
1892,-.10,-.07,-.14,-.22,-.24,-.39,-.26,-.21,-.13,-.01,-.04,-.12,-.16,-.16,-.07,-.20,-.29,-.06
1893,-.14,-.18,-.12,-.25,-.25,-.33,-.14,-.18,-.17,-.09,-.04,-.03,-.16,-.17,-.15,-.21,-.22,-.10
1894,-.15,-.16,-.24,-.36,-.35,-.40,-.27,-.21,-.23,-.18,-.04,-.07,-.22,-.22,-.11,-.32,-.29,-.15
1895,-.13,-.06,-.17,-.25,-.24,-.21,-.15,-.06,-.18,-.12,-.21,-.06,-.15,-.16,-.09,-.22,-.14,-.17
1896,-.09,-.08,-.04,-.02,-.15,-.29,-.05,.00,-.02,.08,.11,.12,-.04,-.05,-.08,-.07,-.11,.06
1897,.08,.07,.11,.00,-.16,-.16,-.08,-.12,-.10,-.10,-.10,-.13,-.06,-.04,.09,-.02,-.12,-.10
